2021-01-17 19:58:22.616218 , query target

 index |                           target-disease | overall association
     0 |              ENSG00000197386-EFO_0009386 |         1.0 
     1 |              ENSG00000197386-EFO_0005774 |         1.0 
     2 |              ENSG00000197386-EFO_0000618 |         1.0 
     3 |              ENSG00000197386-EFO_1001457 |         1.0 
     4 |           ENSG00000197386-Orphanet_71859 |         1.0 
     5 |              ENSG00000197386-EFO_0000508 |         1.0 
     6 |              ENSG00000197386-EFO_0005772 |         1.0 
     7 |          ENSG00000197386-Orphanet_183500 |         1.0 
     8 |              ENSG00000197386-EFO_0004280 |         1.0 
     9 |            ENSG00000197386-MONDO_0001627 |         1.0 
    10 |             ENSG00000197386-Orphanet_399 |         1.0 
    11 |              ENSG00000197386-EFO_0009904 |         1.0 
    12 |              ENSG00000197386-EFO_0000474 |         1.0 
    13 |            ENSG00000197386-MONDO_0000508 |         1.0 
    14 |          ENSG00000197386-Orphanet_248111 |         1.0 
    15 |             ENSG00000197386-Orphanet_778 |         1.0 
    16 |              ENSG00000197386-EFO_0004784 |        0.99 
    17 |              ENSG00000197386-EFO_0004308 |       0.879 
    18 |              ENSG00000197386-EFO_0004343 |       0.736 
    19 |              ENSG00000197386-EFO_0004833 |       0.706 
    20 |              ENSG00000197386-EFO_0004584 |       0.699 
    21 |              ENSG00000197386-EFO_0007800 |       0.672 
    22 |              ENSG00000197386-EFO_0009589 |        0.66 
    23 |              ENSG00000197386-EFO_0004875 |       0.617 
    24 |              ENSG00000197386-EFO_0004995 |       0.594 
    25 |               ENSG00000197386-HP_0000707 |       0.585 
    26 |              ENSG00000197386-EFO_0004309 |       0.559 
    27 |              ENSG00000197386-EFO_0004247 |       0.542 
    28 |              ENSG00000197386-EFO_0003761 |       0.542 
    29 |              ENSG00000197386-EFO_0005208 |       0.541 
    30 |              ENSG00000197386-EFO_0007990 |        0.54 
    31 |              ENSG00000197386-EFO_0004314 |       0.522 
    32 |              ENSG00000197386-EFO_0007788 |       0.515 
    33 |               ENSG00000197386-HP_0100543 |       0.505 
    34 |               ENSG00000197386-HP_0012759 |       0.502 
    35 |               ENSG00000197386-HP_0001249 |         0.5 
    36 |              ENSG00000197386-EFO_0007946 |       0.498 
    37 |              ENSG00000197386-EFO_0004765 |       0.494 
    38 |              ENSG00000197386-EFO_0007906 |       0.491 
    39 |              ENSG00000197386-EFO_0008579 |       0.488 
    40 |              ENSG00000197386-EFO_0005409 |       0.442 
    41 |              ENSG00000197386-EFO_0007878 |       0.423 
    42 |              ENSG00000197386-EFO_0005407 |       0.375 
    43 |              ENSG00000197386-EFO_0000692 |       0.374 
    44 |              ENSG00000197386-EFO_0009101 |       0.346 
    45 |              ENSG00000197386-EFO_0008111 |       0.336 
    46 |              ENSG00000197386-EFO_0004149 |        0.33 
    47 |            ENSG00000197386-MONDO_0000426 |       0.329 
    48 |          ENSG00000197386-Orphanet_183518 |       0.328 
    49 |            ENSG00000197386-MONDO_0000437 |       0.328 
    50 |              ENSG00000197386-EFO_0003782 |       0.325 
    51 |          ENSG00000197386-Orphanet_223713 |       0.325 
    52 |            ENSG00000197386-Orphanet_1934 |        0.32 
    53 |             ENSG00000197386-DOID_0050890 |        0.32 
    54 |           ENSG00000197386-Orphanet_71862 |       0.319 
    55 |              ENSG00000197386-EFO_0002508 |       0.318 
    56 |             ENSG00000197386-Orphanet_135 |       0.317 
    57 |              ENSG00000197386-EFO_0008525 |       0.316 
    58 |             ENSG00000197386-Orphanet_282 |       0.314 
    59 |              ENSG00000197386-Orphanet_99 |       0.312 
    60 |              ENSG00000197386-EFO_0004337 |       0.311 
    61 |             ENSG00000197386-Orphanet_307 |       0.311 
    62 |          ENSG00000197386-Orphanet_289494 |        0.31 
    63 |           ENSG00000197386-Orphanet_88616 |        0.31 
    64 |            ENSG00000197386-Orphanet_2076 |        0.31 
    65 |              ENSG00000197386-EFO_0005741 |       0.309 
    66 |             ENSG00000197386-Orphanet_475 |       0.308 
    67 |              ENSG00000197386-EFO_0005917 |       0.307 
    68 |              ENSG00000197386-EFO_0000540 |       0.306 
    69 |           ENSG00000197386-Orphanet_65683 |       0.305 
    70 |            ENSG00000197386-Orphanet_2828 |       0.305 
    71 |          ENSG00000197386-Orphanet_178469 |       0.305 
    72 |           ENSG00000197386-Orphanet_86814 |       0.305 
    73 |            ENSG00000197386-Orphanet_1949 |       0.305 
    74 |              ENSG00000197386-EFO_0000319 |       0.305 
    75 |           ENSG00000197386-Orphanet_98261 |       0.304 
    76 |            ENSG00000197386-MONDO_0003441 |       0.304 
    77 |          ENSG00000197386-Orphanet_238583 |       0.303 
    78 |          ENSG00000197386-Orphanet_140997 |       0.302 
    79 |              ENSG00000197386-EFO_0003777 |         0.3 
    80 |          ENSG00000197386-Orphanet_268994 |       0.298 
    81 |             ENSG00000197386-Orphanet_791 |       0.297 
    82 |            ENSG00000197386-Orphanet_2512 |       0.297 
    83 |              ENSG00000197386-EFO_0003847 |       0.296 
    84 |              ENSG00000197386-EFO_0004312 |       0.295 
    85 |              ENSG00000197386-EFO_0004720 |       0.294 
    86 |              ENSG00000197386-EFO_0001059 |       0.294 
    87 |              ENSG00000197386-EFO_1001010 |       0.293 
    88 |            ENSG00000197386-Orphanet_1980 |       0.292 
